,0
243,Bacteroides_fragilis
244,Salmonella_enterica
245,Enterococcus_hirae
246,Streptococcus_pyogenes
247,Escherichia_fergusonii
248,Bacteroides_fragilis
249,Salmonella_enterica
250,Streptococcus_pyogenes
251,Escherichia_fergusonii
252,Streptococcus_pneumoniae
253,Escherichia_fergusonii
254,Enterococcus_hirae
255,Streptococcus_pyogenes
256,Escherichia_coli
257,Enterococcus_hirae
258,Klebsiella_pneumoniae
259,Bacteroides_fragilis
260,Escherichia_coli
261,Campylobacter_jejuni
262,Streptococcus_pyogenes
263,Streptococcus_pyogenes
264,Escherichia_coli
265,Bacteroides_fragilis
266,Klebsiella_pneumoniae
267,Staphylococcus_aureus
268,Escherichia_coli
269,Streptococcus_pyogenes
270,Staphylococcus_aureus
271,Streptococcus_pyogenes
272,Bacteroides_fragilis
273,Streptococcus_pneumoniae
274,Enterococcus_hirae
275,Escherichia_coli
276,Staphylococcus_aureus
277,Salmonella_enterica
278,Staphylococcus_aureus
279,Streptococcus_pneumoniae
280,Streptococcus_pyogenes
281,Salmonella_enterica
282,Streptococcus_pyogenes
283,Escherichia_fergusonii
284,Streptococcus_pyogenes
285,Streptococcus_pyogenes
286,Streptococcus_pyogenes
287,Bacteroides_fragilis
288,Escherichia_fergusonii
289,Streptococcus_pneumoniae
290,Bacteroides_fragilis
291,Streptococcus_pyogenes
292,Streptococcus_pyogenes
293,Bacteroides_fragilis
294,Streptococcus_pneumoniae
295,Salmonella_enterica
296,Streptococcus_pneumoniae
297,Enterococcus_hirae
298,Escherichia_coli
299,Streptococcus_pneumoniae
300,Enterococcus_hirae
301,Streptococcus_pneumoniae
302,Escherichia_coli
303,Streptococcus_pneumoniae
304,Salmonella_enterica
305,Streptococcus_pyogenes
306,Bacteroides_fragilis
307,Streptococcus_pneumoniae
308,Bacteroides_fragilis
309,Campylobacter_jejuni
310,Enterococcus_hirae
311,Escherichia_coli
312,Escherichia_fergusonii
313,Streptococcus_pyogenes
314,Streptococcus_pyogenes
315,Escherichia_coli
316,Streptococcus_pyogenes
317,Streptococcus_pneumoniae
318,Salmonella_enterica
319,Escherichia_fergusonii
320,Salmonella_enterica
321,Streptococcus_pyogenes
322,Streptococcus_pyogenes
323,Escherichia_fergusonii
324,Enterococcus_hirae
325,Streptococcus_pneumoniae
326,Enterococcus_hirae
327,Escherichia_fergusonii
328,Staphylococcus_aureus
329,Escherichia_coli
330,Salmonella_enterica
331,Streptococcus_pneumoniae
332,Staphylococcus_aureus
333,Escherichia_fergusonii
334,Enterococcus_hirae
335,Escherichia_coli
336,Bacteroides_fragilis
337,Streptococcus_pneumoniae
338,Streptococcus_pneumoniae
339,Streptococcus_pyogenes
340,Klebsiella_pneumoniae
341,Streptococcus_pneumoniae
342,Salmonella_enterica
343,Enterococcus_hirae
344,Enterococcus_hirae
345,Streptococcus_pneumoniae
346,Staphylococcus_aureus
347,Escherichia_fergusonii
348,Streptococcus_pyogenes
349,Streptococcus_pneumoniae
350,Bacteroides_fragilis
351,Escherichia_coli
352,Escherichia_fergusonii
353,Klebsiella_pneumoniae
354,Escherichia_coli
355,Streptococcus_pyogenes
356,Streptococcus_pyogenes
357,Escherichia_fergusonii
358,Escherichia_fergusonii
359,Streptococcus_pneumoniae
360,Staphylococcus_aureus
361,Streptococcus_pyogenes
362,Klebsiella_pneumoniae
363,Streptococcus_pneumoniae
364,Enterococcus_hirae
365,Staphylococcus_aureus
366,Streptococcus_pneumoniae
367,Escherichia_fergusonii
368,Staphylococcus_aureus
369,Escherichia_coli
370,Escherichia_coli
371,Escherichia_coli
372,Bacteroides_fragilis
373,Salmonella_enterica
374,Salmonella_enterica
375,Salmonella_enterica
376,Escherichia_coli
377,Klebsiella_pneumoniae
378,Escherichia_fergusonii
379,Escherichia_fergusonii
380,Streptococcus_pneumoniae
381,Salmonella_enterica
382,Streptococcus_pneumoniae
383,Campylobacter_jejuni
384,Escherichia_fergusonii
385,Escherichia_fergusonii
386,Escherichia_fergusonii
387,Streptococcus_pyogenes
388,Streptococcus_pneumoniae
389,Bacteroides_fragilis
390,Escherichia_fergusonii
391,Streptococcus_pneumoniae
392,Bacteroides_fragilis
393,Enterococcus_hirae
394,Escherichia_coli
395,Streptococcus_pneumoniae
396,Enterococcus_hirae
397,Streptococcus_pyogenes
398,Escherichia_coli
399,Escherichia_coli
400,Escherichia_coli
401,Bacteroides_fragilis
402,Salmonella_enterica
403,Bacteroides_fragilis
404,Streptococcus_pyogenes
405,Salmonella_enterica
406,Streptococcus_pyogenes
407,Escherichia_fergusonii
408,Bacteroides_fragilis
409,Enterococcus_hirae
410,Streptococcus_pyogenes
411,Salmonella_enterica
412,Enterococcus_hirae
413,Bacteroides_fragilis
414,Bacteroides_fragilis
415,Enterococcus_hirae
416,Enterococcus_hirae
417,Streptococcus_pyogenes
418,Salmonella_enterica
419,Bacteroides_fragilis
420,Staphylococcus_aureus
421,Escherichia_coli
422,Streptococcus_pneumoniae
423,Streptococcus_pneumoniae
424,Escherichia_coli
425,Streptococcus_pyogenes
426,Streptococcus_pyogenes
427,Streptococcus_pyogenes
428,Escherichia_fergusonii
429,Escherichia_fergusonii
430,Salmonella_enterica
431,Bacteroides_fragilis
432,Streptococcus_pneumoniae
433,Escherichia_fergusonii
434,Salmonella_enterica
435,Escherichia_coli
436,Escherichia_fergusonii
437,Bacteroides_fragilis
438,Salmonella_enterica
439,Salmonella_enterica
440,Streptococcus_pyogenes
441,Bacteroides_fragilis
442,Salmonella_enterica
443,Salmonella_enterica
444,Escherichia_fergusonii
445,Bacteroides_fragilis
446,Bacteroides_fragilis
447,Escherichia_coli
448,Escherichia_coli
449,Staphylococcus_aureus
450,Bacteroides_fragilis
451,Streptococcus_pyogenes
452,Salmonella_enterica
453,Escherichia_fergusonii
454,Bacteroides_fragilis
455,Streptococcus_pneumoniae
456,Streptococcus_pyogenes
457,Escherichia_fergusonii
458,Bacteroides_fragilis
459,Escherichia_fergusonii
460,Staphylococcus_aureus
461,Salmonella_enterica
462,Streptococcus_pneumoniae
463,Enterococcus_hirae
464,Escherichia_coli
465,Bacteroides_fragilis
466,Klebsiella_pneumoniae
467,Streptococcus_pneumoniae
468,Streptococcus_pneumoniae
469,Streptococcus_pneumoniae
470,Campylobacter_jejuni
471,Streptococcus_pneumoniae
472,Enterococcus_hirae
473,Streptococcus_pyogenes
474,Enterococcus_hirae
475,Salmonella_enterica
476,Escherichia_coli
477,Escherichia_coli
478,Campylobacter_jejuni
479,Streptococcus_pyogenes
480,Escherichia_fergusonii
481,Bacteroides_fragilis
482,Salmonella_enterica
483,Campylobacter_jejuni
484,Bacteroides_fragilis
485,Escherichia_fergusonii
486,Enterococcus_hirae
487,Klebsiella_pneumoniae
488,Streptococcus_pyogenes
489,Escherichia_coli
490,Streptococcus_pneumoniae
491,Streptococcus_pneumoniae
492,Salmonella_enterica
493,Bacteroides_fragilis
494,Streptococcus_pyogenes
495,Escherichia_coli
496,Escherichia_coli
497,Enterococcus_hirae
498,Streptococcus_pneumoniae
499,Escherichia_fergusonii
500,Enterococcus_hirae
501,Enterococcus_hirae
502,Bacteroides_fragilis
503,Bacteroides_fragilis
504,Escherichia_fergusonii
505,Klebsiella_pneumoniae
506,Escherichia_fergusonii
507,Escherichia_coli
508,Escherichia_fergusonii
509,Escherichia_fergusonii
510,Streptococcus_pyogenes
511,Enterococcus_hirae
512,Streptococcus_pyogenes
513,Streptococcus_pneumoniae
514,Enterococcus_hirae
515,Escherichia_coli
516,Klebsiella_pneumoniae
517,Streptococcus_pyogenes
518,Streptococcus_pneumoniae
519,Staphylococcus_aureus
520,Escherichia_coli
521,Salmonella_enterica
522,Enterococcus_hirae
523,Bacteroides_fragilis
524,Escherichia_coli
525,Enterococcus_hirae
526,Bacteroides_fragilis
527,Streptococcus_pyogenes
528,Streptococcus_pyogenes
529,Enterococcus_hirae
530,Enterococcus_hirae
531,Bacteroides_fragilis
532,Escherichia_fergusonii
533,Streptococcus_pneumoniae
534,Escherichia_coli
535,Bacteroides_fragilis
536,Escherichia_coli
537,Escherichia_fergusonii
538,Salmonella_enterica
539,Escherichia_fergusonii
540,Klebsiella_pneumoniae
541,Salmonella_enterica
542,Bacteroides_fragilis
543,Streptococcus_pyogenes
544,Streptococcus_pyogenes
545,Streptococcus_pyogenes
546,Bacteroides_fragilis
547,Staphylococcus_aureus
548,Bacteroides_fragilis
549,Escherichia_fergusonii
550,Escherichia_fergusonii
551,Escherichia_fergusonii
552,Streptococcus_pneumoniae
553,Bacteroides_fragilis
554,Streptococcus_pyogenes
555,Salmonella_enterica
556,Escherichia_coli
557,Enterococcus_hirae
558,Streptococcus_pneumoniae
559,Enterococcus_hirae
560,Streptococcus_pyogenes
561,Enterococcus_hirae
562,Streptococcus_pyogenes
563,Escherichia_coli
564,Streptococcus_pyogenes
565,Streptococcus_pneumoniae
566,Escherichia_fergusonii
567,Escherichia_coli
568,Bacteroides_fragilis
569,Bacteroides_fragilis
570,Escherichia_coli
571,Streptococcus_pyogenes
572,Escherichia_fergusonii
573,Escherichia_coli
574,Streptococcus_pyogenes
575,Enterococcus_hirae
576,Streptococcus_pneumoniae
577,Bacteroides_fragilis
578,Bacteroides_fragilis
579,Escherichia_coli
580,Enterococcus_hirae
581,Bacteroides_fragilis
582,Escherichia_fergusonii
583,Bacteroides_fragilis
584,Bacteroides_fragilis
585,Escherichia_coli
586,Staphylococcus_aureus
587,Enterococcus_hirae
588,Staphylococcus_aureus
589,Escherichia_coli
590,Bacteroides_fragilis
591,Escherichia_coli
592,Bacteroides_fragilis
593,Streptococcus_pyogenes
594,Bacteroides_fragilis
595,Streptococcus_pneumoniae
596,Streptococcus_pneumoniae
597,Campylobacter_jejuni
598,Escherichia_fergusonii
599,Streptococcus_pyogenes
600,Streptococcus_pyogenes
601,Escherichia_coli
602,Streptococcus_pneumoniae
603,Streptococcus_pneumoniae
604,Bacteroides_fragilis
605,Escherichia_coli
606,Enterococcus_hirae
607,Streptococcus_pneumoniae
608,Enterococcus_hirae
609,Escherichia_coli
610,Escherichia_fergusonii
611,Bacteroides_fragilis
612,Streptococcus_pneumoniae
613,Streptococcus_pyogenes
614,Streptococcus_pyogenes
615,Salmonella_enterica
616,Klebsiella_pneumoniae
617,Bacteroides_fragilis
618,Enterococcus_hirae
619,Streptococcus_pyogenes
620,Salmonella_enterica
621,Streptococcus_pyogenes
622,Bacteroides_fragilis
623,Staphylococcus_aureus
624,Bacteroides_fragilis
625,Staphylococcus_aureus
626,Staphylococcus_aureus
627,Bacteroides_fragilis
628,Enterococcus_hirae
629,Bacteroides_fragilis
630,Bacteroides_fragilis
631,Enterococcus_hirae
632,Staphylococcus_aureus
633,Escherichia_fergusonii
634,Bacteroides_fragilis
635,Bacteroides_fragilis
636,Streptococcus_pneumoniae
637,Salmonella_enterica
638,Streptococcus_pyogenes
639,Escherichia_coli
640,Enterococcus_hirae
641,Bacteroides_fragilis
642,Streptococcus_pyogenes
643,Bacteroides_fragilis
644,Enterococcus_hirae
645,Streptococcus_pneumoniae
646,Escherichia_coli
647,Staphylococcus_aureus
648,Streptococcus_pyogenes
649,Salmonella_enterica
650,Escherichia_coli
651,Streptococcus_pyogenes
652,Enterococcus_hirae
653,Enterococcus_hirae
654,Escherichia_coli
655,Streptococcus_pneumoniae
656,Enterococcus_hirae
657,Klebsiella_pneumoniae
658,Streptococcus_pyogenes
659,Staphylococcus_aureus
660,Enterococcus_hirae
661,Enterococcus_hirae
662,Escherichia_fergusonii
663,Klebsiella_pneumoniae
664,Escherichia_fergusonii
665,Streptococcus_pneumoniae
666,Enterococcus_hirae
667,Streptococcus_pyogenes
668,Streptococcus_pyogenes
669,Escherichia_coli
670,Bacteroides_fragilis
671,Streptococcus_pneumoniae
672,Streptococcus_pneumoniae
673,Escherichia_fergusonii
674,Bacteroides_fragilis
675,Streptococcus_pyogenes
676,Bacteroides_fragilis
677,Streptococcus_pyogenes
678,Bacteroides_fragilis
679,Bacteroides_fragilis
680,Bacteroides_fragilis
681,Streptococcus_pyogenes
682,Escherichia_fergusonii
683,Escherichia_fergusonii
684,Streptococcus_pneumoniae
685,Salmonella_enterica
686,Streptococcus_pneumoniae
687,Streptococcus_pyogenes
688,Streptococcus_pneumoniae
689,Bacteroides_fragilis
690,Escherichia_coli
691,Streptococcus_pyogenes
692,Escherichia_coli
693,Salmonella_enterica
694,Escherichia_coli
695,Streptococcus_pneumoniae
696,Bacteroides_fragilis
697,Enterococcus_hirae
698,Bacteroides_fragilis
699,Salmonella_enterica
700,Streptococcus_pyogenes
701,Bacteroides_fragilis
702,Escherichia_coli
703,Bacteroides_fragilis
704,Staphylococcus_aureus
705,Bacteroides_fragilis
706,Escherichia_fergusonii
707,Streptococcus_pneumoniae
708,Escherichia_coli
709,Escherichia_coli
710,Enterococcus_hirae
711,Escherichia_coli
712,Escherichia_coli
713,Bacteroides_fragilis
714,Klebsiella_pneumoniae
715,Streptococcus_pneumoniae
716,Bacteroides_fragilis
717,Escherichia_fergusonii
718,Streptococcus_pyogenes
719,Streptococcus_pyogenes
720,Escherichia_coli
721,Escherichia_fergusonii
722,Streptococcus_pneumoniae
723,Escherichia_coli
724,Streptococcus_pneumoniae
725,Streptococcus_pneumoniae
726,Bacteroides_fragilis
727,Salmonella_enterica
728,Salmonella_enterica
729,Bacteroides_fragilis
730,Escherichia_coli
731,Escherichia_fergusonii
732,Salmonella_enterica
733,Streptococcus_pneumoniae
734,Escherichia_fergusonii
735,Escherichia_fergusonii
736,Campylobacter_jejuni
737,Bacteroides_fragilis
738,Salmonella_enterica
739,Streptococcus_pyogenes
740,Escherichia_fergusonii
741,Escherichia_coli
742,Salmonella_enterica
743,Streptococcus_pyogenes
744,Enterococcus_hirae
745,Streptococcus_pneumoniae
746,Streptococcus_pyogenes
747,Streptococcus_pyogenes
748,Escherichia_fergusonii
749,Escherichia_coli
750,Streptococcus_pyogenes
751,Escherichia_fergusonii
752,Enterococcus_hirae
753,Escherichia_coli
754,Bacteroides_fragilis
755,Escherichia_coli
756,Escherichia_fergusonii
757,Salmonella_enterica
758,Escherichia_fergusonii
759,Enterococcus_hirae
760,Bacteroides_fragilis
761,Staphylococcus_aureus
762,Klebsiella_pneumoniae
763,Streptococcus_pyogenes
764,Escherichia_fergusonii
765,Escherichia_coli
766,Salmonella_enterica
767,Bacteroides_fragilis
768,Streptococcus_pneumoniae
769,Campylobacter_jejuni
770,Bacteroides_fragilis
771,Enterococcus_hirae
772,Salmonella_enterica
773,Enterococcus_hirae
774,Staphylococcus_aureus
775,Streptococcus_pyogenes
776,Streptococcus_pyogenes
777,Bacteroides_fragilis
778,Escherichia_fergusonii
779,Enterococcus_hirae
780,Salmonella_enterica
781,Salmonella_enterica
782,Bacteroides_fragilis
783,Streptococcus_pneumoniae
784,Enterococcus_hirae
785,Enterococcus_hirae
786,Enterococcus_hirae
787,Bacteroides_fragilis
788,Escherichia_fergusonii
789,Bacteroides_fragilis
790,Escherichia_coli
791,Klebsiella_pneumoniae
792,Enterococcus_hirae
793,Escherichia_fergusonii
794,Salmonella_enterica
795,Streptococcus_pneumoniae
796,Escherichia_coli
797,Streptococcus_pyogenes
798,Streptococcus_pneumoniae
799,Salmonella_enterica
800,Streptococcus_pneumoniae
801,Streptococcus_pneumoniae
802,Salmonella_enterica
803,Salmonella_enterica
804,Staphylococcus_aureus
805,Enterococcus_hirae
806,Staphylococcus_aureus
807,Streptococcus_pyogenes
808,Escherichia_coli
809,Enterococcus_hirae
810,Bacteroides_fragilis
811,Escherichia_fergusonii
812,Streptococcus_pyogenes
813,Enterococcus_hirae
814,Streptococcus_pyogenes
815,Escherichia_coli
816,Enterococcus_hirae
817,Escherichia_fergusonii
818,Streptococcus_pyogenes
819,Bacteroides_fragilis
820,Streptococcus_pneumoniae
821,Staphylococcus_aureus
822,Escherichia_fergusonii
823,Escherichia_fergusonii
824,Enterococcus_hirae
825,Streptococcus_pneumoniae
826,Streptococcus_pyogenes
827,Streptococcus_pneumoniae
828,Bacteroides_fragilis
829,Bacteroides_fragilis
830,Bacteroides_fragilis
831,Bacteroides_fragilis
832,Enterococcus_hirae
833,Staphylococcus_aureus
834,Enterococcus_hirae
835,Streptococcus_pyogenes
836,Streptococcus_pneumoniae
837,Streptococcus_pyogenes
838,Staphylococcus_aureus
839,Streptococcus_pneumoniae
840,Escherichia_coli
841,Streptococcus_pneumoniae
842,Escherichia_coli
843,Salmonella_enterica
844,Escherichia_fergusonii
845,Bacteroides_fragilis
846,Bacteroides_fragilis
847,Klebsiella_pneumoniae
848,Campylobacter_jejuni
849,Bacteroides_fragilis
850,Escherichia_fergusonii
851,Escherichia_fergusonii
852,Campylobacter_jejuni
853,Escherichia_fergusonii
854,Escherichia_coli
855,Escherichia_fergusonii
856,Streptococcus_pneumoniae
857,Streptococcus_pyogenes
858,Streptococcus_pyogenes
859,Streptococcus_pyogenes
860,Streptococcus_pyogenes
861,Campylobacter_jejuni
862,Bacteroides_fragilis
863,Streptococcus_pyogenes
864,Streptococcus_pneumoniae
865,Salmonella_enterica
866,Escherichia_fergusonii
867,Streptococcus_pneumoniae
868,Streptococcus_pyogenes
869,Escherichia_coli
870,Streptococcus_pyogenes
871,Streptococcus_pyogenes
872,Enterococcus_hirae
873,Streptococcus_pyogenes
874,Bacteroides_fragilis
875,Streptococcus_pyogenes
876,Escherichia_coli
877,Enterococcus_hirae
878,Escherichia_fergusonii
879,Bacteroides_fragilis
880,Bacteroides_fragilis
881,Salmonella_enterica
882,Klebsiella_pneumoniae
883,Streptococcus_pneumoniae
884,Escherichia_fergusonii
885,Campylobacter_jejuni
886,Staphylococcus_aureus
887,Streptococcus_pneumoniae
888,Escherichia_coli
889,Streptococcus_pyogenes
890,Bacteroides_fragilis
891,Escherichia_coli
892,Streptococcus_pneumoniae
893,Salmonella_enterica
894,Escherichia_fergusonii
895,Escherichia_fergusonii
896,Streptococcus_pneumoniae
897,Streptococcus_pyogenes
898,Klebsiella_pneumoniae
899,Salmonella_enterica
900,Bacteroides_fragilis
901,Streptococcus_pyogenes
902,Streptococcus_pneumoniae
903,Enterococcus_hirae
904,Staphylococcus_aureus
905,Escherichia_coli
906,Escherichia_fergusonii
907,Streptococcus_pyogenes
908,Campylobacter_jejuni
909,Salmonella_enterica
910,Bacteroides_fragilis
911,Streptococcus_pyogenes
912,Escherichia_fergusonii
913,Bacteroides_fragilis
914,Escherichia_fergusonii
915,Streptococcus_pneumoniae
916,Streptococcus_pneumoniae
917,Escherichia_coli
918,Escherichia_fergusonii
919,Enterococcus_hirae
920,Streptococcus_pyogenes
921,Escherichia_coli
922,Escherichia_fergusonii
923,Streptococcus_pyogenes
924,Streptococcus_pyogenes
925,Staphylococcus_aureus
926,Bacteroides_fragilis
927,Campylobacter_jejuni
928,Streptococcus_pyogenes
929,Streptococcus_pneumoniae
930,Bacteroides_fragilis
931,Bacteroides_fragilis
932,Escherichia_coli
933,Streptococcus_pneumoniae
934,Streptococcus_pyogenes
935,Escherichia_fergusonii
936,Streptococcus_pneumoniae
937,Streptococcus_pneumoniae
938,Bacteroides_fragilis
939,Salmonella_enterica
940,Escherichia_coli
941,Campylobacter_jejuni
942,Bacteroides_fragilis
943,Salmonella_enterica
944,Campylobacter_jejuni
945,Streptococcus_pyogenes
946,Bacteroides_fragilis
947,Escherichia_fergusonii
948,Enterococcus_hirae
949,Bacteroides_fragilis
950,Salmonella_enterica
951,Bacteroides_fragilis
952,Escherichia_coli
953,Enterococcus_hirae
954,Streptococcus_pyogenes
955,Enterococcus_hirae
956,Streptococcus_pyogenes
957,Escherichia_fergusonii
958,Streptococcus_pyogenes
959,Bacteroides_fragilis
960,Staphylococcus_aureus
961,Enterococcus_hirae
962,Bacteroides_fragilis
963,Escherichia_fergusonii
964,Streptococcus_pyogenes
965,Escherichia_coli
966,Campylobacter_jejuni
967,Streptococcus_pneumoniae
968,Streptococcus_pyogenes
969,Streptococcus_pneumoniae
970,Escherichia_fergusonii
971,Salmonella_enterica
972,Bacteroides_fragilis
973,Streptococcus_pneumoniae
974,Escherichia_coli
975,Streptococcus_pyogenes
976,Enterococcus_hirae
977,Bacteroides_fragilis
978,Escherichia_fergusonii
979,Streptococcus_pyogenes
980,Streptococcus_pneumoniae
981,Staphylococcus_aureus
982,Klebsiella_pneumoniae
983,Escherichia_coli
984,Enterococcus_hirae
985,Escherichia_fergusonii
986,Streptococcus_pneumoniae
987,Bacteroides_fragilis
988,Escherichia_coli
989,Streptococcus_pneumoniae
990,Bacteroides_fragilis
991,Salmonella_enterica
992,Streptococcus_pyogenes
993,Escherichia_fergusonii
994,Streptococcus_pyogenes
995,Streptococcus_pyogenes
996,Streptococcus_pneumoniae
997,Escherichia_coli
998,Bacteroides_fragilis
999,Bacteroides_fragilis
1000,Staphylococcus_aureus
1001,Enterococcus_hirae
1002,Enterococcus_hirae
1003,Campylobacter_jejuni
1004,Streptococcus_pyogenes
1005,Escherichia_fergusonii
1006,Escherichia_fergusonii
1007,Escherichia_coli
1008,Streptococcus_pyogenes
1009,Escherichia_coli
1010,Streptococcus_pyogenes
